backbone,n,tau,p_perm,n_perm,p_param,auroc_min,auroc_max,p_holm,significant
resnet50,30,0.030588235294117642,0.85,120,0.8156337024008123,0.778572266528432,0.7800263243640526,1.0,False
efficientnet_b3,30,-0.5152941176470588,0.3333333333333333,120,8.568214872385787e-05,0.8180712224683582,0.8213330835902475,1.0,False
panderm,30,0.6047058823529411,0.058333333333333334,120,4.036734605740495e-06,0.9982548042479684,0.9988264307882727,0.5833333333333334,False
uni,30,-0.2988235294117647,0.825,120,0.022736266324955345,0.9721778644836303,0.9733540960184871,1.0,False
biomedclip,30,-0.32705882352941174,0.425,120,0.012664525111138192,0.9679877972848769,0.9765941432669935,1.0,False
monet,30,-0.18588235294117644,0.14166666666666666,120,0.15650559162699748,0.9926342107148028,0.9933508050435736,1.0,False
dinov3,30,0.308235294117647,0.30833333333333335,120,0.018794588473835062,0.9818732723884629,0.9850703789413332,1.0,False
mocov3,30,-0.37882352941176467,0.21666666666666667,120,0.0038812883485268477,0.9748819689099059,0.9751548570306715,1.0,False
openclip,30,0.02588235294117647,0.9083333333333333,120,0.8435982535153804,0.9780919147307713,0.9791127009474264,1.0,False
siglip,30,-0.04470588235294117,0.8083333333333333,120,0.7332700920596111,0.9654885629174802,0.9667923283183755,1.0,False
