backbone,scorer,tau,p_param,auroc_min,auroc_max
resnet50,cosine_auroc,-0.3741176470588235,0.004347508275248239,0.6991549099336085,0.8433374418990918
resnet50,knn_k10_auroc,-0.6,4.7939054009721025e-06,0.6961514659180558,0.7792423131431335
resnet50,kde_auroc,-0.6047058823529411,4.036734605740495e-06,0.4574413047925423,0.6279769281359977
efficientnet_b3,cosine_auroc,-0.4494117647058823,0.0006131631402896758,0.6525275838146556,0.8615881392989296
efficientnet_b3,knn_k10_auroc,-0.5576470588235293,2.1303926931692697e-05,0.6406874599255958,0.6883315787765096
efficientnet_b3,kde_auroc,-0.628235294117647,1.6774875513836107e-06,0.39216036872660054,0.5886535567005262
panderm,cosine_auroc,0.5341176470588235,4.672938088728124e-05,0.924053539833421,0.98915936374256
panderm,knn_k10_auroc,0.3741176470588235,0.004347508275248239,0.9899907814914609,0.9978638721548998
panderm,kde_auroc,0.47764705882352937,0.00027163102468339713,0.687599998144962,0.9324135779853703
uni,cosine_auroc,-0.37882352941176467,0.0038812883485268477,0.8340359719360224,0.9335007075767828
uni,knn_k10_auroc,-0.5011764705882352,0.00013328405065341994,0.9568552931192,0.9744212581864289
uni,kde_auroc,-0.628235294117647,1.6774875513836107e-06,0.46778219723417264,0.6173306414670053
biomedclip,cosine_auroc,0.4494117647058823,0.0006131631402896758,0.8383771474427184,0.9630021248773828
biomedclip,knn_k10_auroc,0.49176470588235294,0.00017784777135043897,0.9651151506282309,0.982822476465493
biomedclip,kde_auroc,0.5294117647058822,5.447715310406721e-05,0.6925949457427134,0.8143047652320525
monet,cosine_auroc,0.002352941176470588,0.9856901270387861,0.7307944732920039,0.9656741955447139
monet,knn_k10_auroc,-0.1388235294117647,0.2899606557489275,0.9479940082270937,0.9901123036601104
monet,kde_auroc,-0.20941176470588235,0.11042634641398776,0.4308727799445653,0.7019086967447346
dinov3,cosine_auroc,0.36470588235294116,0.005435257332094251,0.6874233401231161,0.977184234306421
dinov3,knn_k10_auroc,0.5717647058823528,1.3102764288280131e-05,0.9138981941376332,0.9764634317894779
dinov3,kde_auroc,0.34117647058823525,0.009303905665847967,0.5103360830837191,0.8105922844501606
mocov3,cosine_auroc,-0.7505882352941176,1.0558944538312324e-08,0.6906329853591121,0.9237600401787501
mocov3,knn_k10_auroc,-0.8447058823529411,1.203216572521237e-10,0.9309146471228102,0.9761839737422799
mocov3,kde_auroc,-0.7647058823529411,5.57232666195256e-09,0.42716098621380383,0.7663167343497911
openclip,cosine_auroc,0.8305882352941176,2.430854436685213e-10,0.773491652242887,0.9465047819617475
openclip,knn_k10_auroc,0.7505882352941176,1.0558944538312324e-08,0.938396762752485,0.9634379729380865
openclip,kde_auroc,0.016470588235294115,0.9000880697391289,0.6033706213157957,0.7737155879706279
siglip,cosine_auroc,-0.04941176470588235,0.7064335161510089,0.7609277199881895,0.89782579234601
siglip,knn_k10_auroc,-0.07294117647058823,0.5782056882981677,0.9253478582812763,0.9615147450619488
siglip,kde_auroc,-0.06352941176470588,0.6281980624307975,0.5191491455746264,0.6767573007341313
