# INTERIM / EXPLORATORY — DO NOT USE FOR INFERENCE
backbone,family,family_label,gate1_pass,selected_r,selected_lambda_proj,w_raw_norm,embed_dim,domain_probe_alpha0,id_bal_acc_alpha0,lid_mean_alpha0,lid_mean_alpha1,spectral_slope_alpha0,spectral_slope_alpha1,maha_auroc_alpha1,cosine_auroc_alpha1,ea03_pass_alpha025,step12_timestamp,commit
biomedclip,medical_vlm,Medical VLM,True,128,0.1,40.80945015336084,768,0.9936651583710407,0.4491192732913204,19.341163699487684,19.661608685869492,0.006922592926811557,0.007061635205861422,,,True,2026-08-13T07:30:48.842155+00:00,f3b9ada90008aa0d3cc2cee0ab286af5e0c022db
dinov3,general_ssl,General SSL,True,16,0.1,8.368459085834637,1024,0.9990950226244344,0.5178495318616737,17.407386915935554,16.75221989998078,0.005250791303386206,0.005337359973769191,0.9832155813577607,0.7617061746830933,True,2026-08-13T11:09:26.319245+00:00,f3b9ada90008aa0d3cc2cee0ab286af5e0c022db
efficientnet_b3,cnn,CNN,True,16,0.1,4.655929638181071,1536,0.9768325791855202,0.4061489400818731,20.781579724046228,20.155034256465957,0.00345286232878743,0.0035044762470860633,0.8190784566014707,0.6965959536467213,True,2026-08-12T01:39:08.181666+00:00,039cc7eaba7cfe62c289981fd63c8bae52959263
mocov3,general_ssl,General SSL,True,16,0.1,0.5657572598280634,768,0.9973755656108597,0.4645123197326283,20.617218097248344,14.828487963046191,0.005847874790031553,0.006195522246822856,,,True,2026-08-13T08:02:15.980389+00:00,f3b9ada90008aa0d3cc2cee0ab286af5e0c022db
monet,medical_vlm,Medical VLM,True,16,0.1,5.35929570171816,1024,0.9993665158371041,0.48989215155687094,18.219180090708996,17.824700839729434,0.004925308749556857,0.005018017710290529,,,True,2026-08-13T07:43:01.391134+00:00,f3b9ada90008aa0d3cc2cee0ab286af5e0c022db
openclip,general_vlm,General VLM,True,16,0.1,12.54770552349383,768,0.9987330316742081,0.4446521418546142,19.075733314154515,18.861164783916703,0.007203974545481335,0.00726985775499276,0.9785726272302754,0.8380519919072247,True,2026-08-13T08:33:53.411855+00:00,f3b9ada90008aa0d3cc2cee0ab286af5e0c022db
panderm,medical_ssl,Medical SSL,True,16,0.1,9.014975355083987,1024,0.9990045248868779,0.5357507652605074,15.027931404443088,14.681949460444656,0.0069687240082659165,0.006791467772677299,0.998401386606591,0.9502521821173302,True,2026-08-11T17:15:08.348931+00:00,2573166a41b2ff273d641cef331379f298e24674
resnet50,cnn,CNN,True,16,0.1,2.212815921133407,2048,0.9827149321266969,0.37602683529139164,18.345713972521015,16.50824569378968,0.003434406009905497,0.003476138470422967,0.7791453444642488,0.7125295882863278,True,2026-08-12T14:07:06.134595+00:00,d6a4cbf87f3786dea3640b21b40165aa9296c5a5
siglip,general_vlm,General VLM,True,16,0.1,8.504955793065053,1024,0.998552036199095,0.47103517752718504,17.319543382756116,16.956692777014705,0.01309783439291769,0.012978429324283855,0.9662908239340445,0.799334797095766,True,2026-08-13T13:48:13.882217+00:00,f3b9ada90008aa0d3cc2cee0ab286af5e0c022db
uni,medical_ssl,Medical SSL,True,16,0.1,16.681207997373395,1024,0.9957466063348417,0.4679038663975841,20.52885862747544,20.04654576941402,0.005261190858053521,0.005278819779768648,0.9724917953212848,0.8612546704447608,True,2026-08-12T20:19:32.777085+00:00,21c1bdfdb764c2f0c8d1109b5046a58566f4822e
